ObjectClass	CommandType	CommandName	PraatUsage	SpecialFileTypes
Activation	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
Activation	Modify	Formula...	do ("Formula...", "self")	NA
AffineTransform	Create	Invert	do ("Invert")	NA
AffineTransform	Query	Get translation element...	do ("Get translation element...", 1)	NA
AffineTransform	Query	Get transformation element...	do ("Get transformation element...", 1, 1)	NA
AmplitudeTier	Create	To IntensityTier...	do ("To IntensityTier...", -10000)	NA
AmplitudeTier	Create	Down to PointProcess	do ("Down to PointProcess")	NA
AmplitudeTier	Create	To Sound (pulse train)...	do ("To Sound (pulse train)...", 44100, 2000)	(Sound formats)
AmplitudeTier	Create	Down to TableOfReal	do ("Down to TableOfReal")	headerless spreadsheet
AmplitudeTier	Modify	Shift times by...	do ("Shift times by...", 0.5)	NA
AmplitudeTier	Modify	Shift times to...	do ("Shift times to...", "start time", 0)	NA
AmplitudeTier	Modify	Scale times by...	do ("Scale times by...", 2)	NA
AmplitudeTier	Modify	Scale times to...	do ("Scale times to...", 0, 1)	NA
AmplitudeTier	Modify	Remove point...	do ("Remove point...", 1)	NA
AmplitudeTier	Modify	Remove point near...	do ("Remove point near...", 0.5)	NA
AmplitudeTier	Modify	Remove points between...	do ("Remove points between...", 0, 1)	NA
AmplitudeTier	Modify	Add point...	do ("Add point...", 0.5, 0.8)	NA
AmplitudeTier	Modify	Formula...	do ("Formula...", "- self")	NA
AmplitudeTier	Query	Get start time	do ("Get start time")	NA
AmplitudeTier	Query	Get end time	do ("Get end time")	NA
AmplitudeTier	Query	Get total duration	do ("Get total duration")	NA
AmplitudeTier	Query	Get number of points	do ("Get number of points")	NA
AmplitudeTier	Query	Get low index from time...	do ("Get low index from time...", 0.5)	NA
AmplitudeTier	Query	Get high index from time...	do ("Get high index from time...", 0.5)	NA
AmplitudeTier	Query	Get nearest index from time...	do ("Get nearest index from time...", 0.5)	NA
AmplitudeTier	Query	Get time from index...	do ("Get time from index...", 10)	NA
AmplitudeTier	Query	Get shimmer (local)...	do ("Get shimmer (local)...", 0.0001, 0.02, 1.6)	NA
AmplitudeTier	Query	Get shimmer (local_dB)...	do ("Get shimmer (local_dB)...", 0.0001, 0.02, 1.6)	NA
AmplitudeTier	Query	Get shimmer (apq3)...	do ("Get shimmer (apq3)...", 0.0001, 0.02, 1.6)	NA
AmplitudeTier	Query	Get shimmer (apq5)...	do ("Get shimmer (apq5)...", 0.0001, 0.02, 1.6)	NA
AmplitudeTier	Query	Get shimmer (apq11)...	do ("Get shimmer (apq11)...", 0.0001, 0.02, 1.6)	NA
AmplitudeTier	Query	Get shimmer (dda)...	do ("Get shimmer (dda)...", 0.0001, 0.02, 1.6)	NA
Artword	Create	To Art (slice)...	do ("To Art (slice)...", 0)	NA
Artword	Modify	Set target...	do ("Set target...", 0, 0, "Lungs")	NA
Artword	Query	Get target...	do ("Get target...", 0, "Lungs")	NA
BarkFilter	Create	To Intensity	do ("To Intensity")	NA
BarkFilter	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
BarkFilter	Modify	Equalize intensities...	do ("Equalize intensities...", 80)	NA
BarkFilter	Query	Get start time	do ("Get start time")	NA
BarkFilter	Query	Get end time	do ("Get end time")	NA
BarkFilter	Query	Get total duration	do ("Get total duration")	NA
BarkFilter	Query	Get number of frames	do ("Get number of frames")	NA
BarkFilter	Query	Get time step	do ("Get time step")	NA
BarkFilter	Query	Get time from frame number...	do ("Get time from frame number...", 1)	NA
BarkFilter	Query	Get frame number from time...	do ("Get frame number from time...", 0.5)	NA
